0.0041	0.0467
0.0334	0.0500
0.1169	0.1724
0.1478	0.1358
0.0962	0.0464
0.1705	0.0145
0.1281	0.0827
0.1961	0.0491
0.0995	0.1942
0.0827	0.1436
0.0391	0.0604
0.1902	0.0153
0.0292	0.0382
0.1421	0.0716
0.1718	0.1895
0.1447	0.1726
0.0771	0.1538
0.1869	0.1912
0.1667	0.0299
0.1035	0.1894
0.0703	0.1811
0.1322	0.0333
0.1673	0.0664
0.1141	0.1711
0.0253	0.0868
0.0511	0.1551
0.0692	0.0187
0.0369	0.0659
0.0757	0.1372
0.1071	0.1466
0.0900	0.0462
0.1376	0.1805
0.0232	0.0965
0.1649	0.0102
0.0766	0.0460
0.0027	0.0326
0.0101	0.1244
0.1971	0.1948
0.0232	0.0429
0.0003	0.0842
0.0036	0.1176
0.1330	0.0063
0.0272	0.0957
0.0473	0.0844
0.1387	0.0090
0.0875	0.1021
0.0071	0.0791
0.0238	0.1030
0.0422	0.0610
0.0487	0.1291
0.0051	0.0985
0.1620	0.1425
0.1941	0.1333
0.0763	0.1793
0.0038	0.1842
0.1560	0.1368
0.0707	0.0162
0.0619	0.1483
0.1268	0.0217
0.0654	0.0051
0.1372	0.0805
0.0498	0.1627
0.0099	0.1731
0.0855	0.0579
0.0280	0.1088
0.0639	0.1305
0.0615	0.0165
0.1461	0.1412
0.0926	0.1130
0.0759	0.0868
0.1942	0.0267
0.0728	0.0650
0.1864	0.0502
0.0663	0.1528
0.0571	0.1262
0.1747	0.0414
0.0052	0.1631
0.1800	0.1718
0.1362	0.1734
0.0512	0.0206
0.1618	0.1092
0.0091	0.0365
0.1576	0.0608
0.1580	0.1425
0.1016	0.0840
0.1107	0.1993
0.0959	0.1302
0.1712	0.0336
0.0640	0.1051
0.1444	0.1470
0.1264	0.1180
0.1024	0.1562
0.1982	0.0384
0.1116	0.1027
0.0865	0.0509
0.1290	0.0232
0.0185	0.0415
0.1077	0.1395
0.1682	0.1660
0.0522	0.1821
